Variables,Type,python_type
episode_number,identifier,int
pitch_number,identifier,int
brand_name,nominal,category
idea,nominal,category
deal,binary,0/1
pitcher_ask_amount,continuous,float
ask_equity,continuous,float
ask_valuation,continuous,float
deal_amount,continuous,float
deal_equity,continuous,float
deal_valuation,continuous,float
ashneer_present,binary,0/1
anupam_present,binary,0/1
aman_present,binary,0/1
namita_present,binary,0/1
vineeta_present,binary,0/1
peyush_present,binary,0/1
ghazal_present,binary,0/1
ashneer_deal,binary,0/1
anupam_deal,binary,0/1
aman_deal,binary,0/1
namita_deal,binary,0/1
vineeta_deal,binary,0/1
peyush_deal,binary,0/1
ghazal_deal,binary,0/1
total_sharks_invested,discrete,count
amount_per_shark,continuous,float
equity_per_shark,continuous,float
total_sharks_invested,discrete,count
amount_per_shark,continuous,float
equity_per_shark,continuous,float
